[START OF SIMULATION]
[0x00000038]	pop r4,r3           	R4=MEM[R3->0x0000006C]=0x0000000C
[0x0000003C]	ret r4              	PC=R4<<2=0x00000030
[0x00000030]	pop r1,r3           	R1=MEM[R3->0x00000070]=0x00000003
[0x00000034]	mul r2,r2,r1        	FR=0x00000001,ER=0x00000000,R2=R2*R1=0x00000006
[0x00000038]	pop r4,r3           	R4=MEM[R3->0x00000074]=0x0000000C
[0x0000003C]	ret r4              	PC=R4<<2=0x00000030
[0x00000030]	pop r1,r3           	R1=MEM[R3->0x00000078]=0x00000004
[0x00000034]	mul r2,r2,r1        	FR=0x00000001,ER=0x00000000,R2=R2*R1=0x00000018
[0x00000038]	pop r4,r3           	R4=MEM[R3->0x0000007C]=0x0000000C
[0x0000003C]	ret r4              	PC=R4<<2=0x00000030
[0x00000030]	pop r1,r3           	R1=MEM[R3->0x00000080]=0x00000005
[0x00000034]	mul r2,r2,r1        	FR=0x00000001,ER=0x00000000,R2=R2*R1=0x00000078
[0x00000038]	pop r4,r3           	R4=MEM[R3->0x00000084]=0x0000000C
[0x0000003C]	ret r4              	PC=R4<<2=0x00000030
[0x00000030]	pop r1,r3           	R1=MEM[R3->0x00000088]=0x00000006
[0x00000034]	mul r2,r2,r1        	FR=0x00000001,ER=0x00000000,R2=R2*R1=0x000002D0
[0x00000038]	pop r4,r3           	R4=MEM[R3->0x0000008C]=0x0000000C
[0x0000003C]	ret r4              	PC=R4<<2=0x00000030
[0x00000030]	pop r1,r3           	R1=MEM[R3->0x00000090]=0x00000007
[0x00000034]	mul r2,r2,r1        	FR=0x00000001,ER=0x00000000,R2=R2*R1=0x000013B0
[0x00000038]	pop r4,r3           	R4=MEM[R3->0x00000094]=0x0000000C
[0x0000003C]	ret r4              	PC=R4<<2=0x00000030
[0x00000030]	pop r1,r3           	R1=MEM[R3->0x00000098]=0x00000008
[0x00000034]	mul r2,r2,r1        	FR=0x00000001,ER=0x00000000,R2=R2*R1=0x00009D80
[0x00000038]	pop r4,r3           	R4=MEM[R3->0x0000009C]=0x0000000C
[0x0000003C]	ret r4              	PC=R4<<2=0x00000030
[0x00000030]	pop r1,r3           	R1=MEM[R3->0x000000A0]=0x00000009
[0x00000034]	mul r2,r2,r1        	FR=0x00000001,ER=0x00000000,R2=R2*R1=0x00058980
[0x00000038]	pop r4,r3           	R4=MEM[R3->0x000000A4]=0x0000000C
[0x0000003C]	ret r4              	PC=R4<<2=0x00000030
[0x00000030]	pop r1,r3           	R1=MEM[R3->0x000000A8]=0x0000000A
[0x00000034]	mul r2,r2,r1        	FR=0x00000001,ER=0x00000000,R2=R2*R1=0x00375F00
[0x00000038]	pop r4,r3           	R4=MEM[R3->0x000000AC]=0x00000015
[0x0000003C]	ret r4              	PC=R4<<2=0x00000054
[0x00000054]	stw r0,0x0017,r2    	MEM[(R0+0x0017)<<2]=R2=0x00375F00
[0x00000058]	int 0               	CR=0x00000000,PC=0x00000000
[END OF SIMULATION]
