[START OF SIMULATION]
[0x0000003C]	addi r4,r4,1        	FR=0x00000002,R4=R4+0x0001=0x00000009
[0x00000040]	bun 0x00000008      	PC=0x00000020
[0x00000020]	cmp r4,r2           	FR=0x00000002
[0x00000024]	bge 0x00000011      	PC=0x00000028
[0x00000028]	add r7,r1,r4        	FR=0x00000002,R7=R1+R4=0x00000020
[0x0000002C]	add r8,r5,r6        	FR=0x00000002,R8=R5+R6=0x00000022
[0x00000030]	addi r6,r5,0        	FR=0x00000002,R6=R5+0x0000=0x00000015
[0x00000034]	addi r5,r8,0        	FR=0x00000002,R5=R8+0x0000=0x00000022
[0x00000038]	stw r7,0x0000,r8    	MEM[(R7+0x0000)<<2]=R8=0x00000022
[0x0000003C]	addi r4,r4,1        	FR=0x00000002,R4=R4+0x0001=0x0000000A
[0x00000040]	bun 0x00000008      	PC=0x00000020
[0x00000020]	cmp r4,r2           	FR=0x00000001
[0x00000024]	bge 0x00000011      	PC=0x00000044
[0x00000044]	ret r3              	PC=R3<<2=0x00000054
[0x00000054]	int 0               	CR=0x00000000,PC=0x00000000
[END OF SIMULATION]
